PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=285 ttl=47 time=311 ms
64 bytes from 141.44.1.1: icmp_seq=286 ttl=47 time=170 ms
64 bytes from 141.44.1.1: icmp_seq=287 ttl=47 time=171 ms
64 bytes from 141.44.1.1: icmp_seq=288 ttl=47 time=209 ms
64 bytes from 141.44.1.1: icmp_seq=289 ttl=47 time=191 ms
64 bytes from 141.44.1.1: icmp_seq=290 ttl=47 time=188 ms
64 bytes from 141.44.1.1: icmp_seq=291 ttl=47 time=209 ms
64 bytes from 141.44.1.1: icmp_seq=292 ttl=47 time=312 ms
64 bytes from 141.44.1.1: icmp_seq=293 ttl=47 time=169 ms
64 bytes from 141.44.1.1: icmp_seq=294 ttl=47 time=188 ms
64 bytes from 141.44.1.1: icmp_seq=295 ttl=47 time=209 ms
64 bytes from 141.44.1.1: icmp_seq=296 ttl=47 time=187 ms
64 bytes from 141.44.1.1: icmp_seq=297 ttl=47 time=169 ms
64 bytes from 141.44.1.1: icmp_seq=298 ttl=47 time=166 ms
64 bytes from 141.44.1.1: icmp_seq=299 ttl=47 time=209 ms
64 bytes from 141.44.1.1: icmp_seq=300 ttl=47 time=265 ms
64 bytes from 141.44.1.1: icmp_seq=301 ttl=47 time=188 ms
64 bytes from 141.44.1.1: icmp_seq=302 ttl=47 time=305 ms
64 bytes from 141.44.1.1: icmp_seq=303 ttl=47 time=167 ms
64 bytes from 141.44.1.1: icmp_seq=304 ttl=47 time=164 ms
64 bytes from 141.44.1.1: icmp_seq=305 ttl=47 time=185 ms
64 bytes from 141.44.1.1: icmp_seq=306 ttl=47 time=203 ms
64 bytes from 141.44.1.1: icmp_seq=307 ttl=47 time=163 ms
64 bytes from 141.44.1.1: icmp_seq=308 ttl=47 time=205 ms
64 bytes from 141.44.1.1: icmp_seq=309 ttl=47 time=165 ms
64 bytes from 141.44.1.1: icmp_seq=310 ttl=47 time=161 ms
64 bytes from 141.44.1.1: icmp_seq=311 ttl=47 time=163 ms
64 bytes from 141.44.1.1: icmp_seq=312 ttl=47 time=502 ms
64 bytes from 141.44.1.1: icmp_seq=313 ttl=47 time=265 ms
64 bytes from 141.44.1.1: icmp_seq=314 ttl=47 time=301 ms
64 bytes from 141.44.1.1: icmp_seq=315 ttl=47 time=163 ms
64 bytes from 141.44.1.1: icmp_seq=316 ttl=47 time=220 ms
64 bytes from 141.44.1.1: icmp_seq=317 ttl=47 time=540 ms
64 bytes from 141.44.1.1: icmp_seq=318 ttl=47 time=823 ms
64 bytes from 141.44.1.1: icmp_seq=319 ttl=47 time=262 ms
64 bytes from 141.44.1.1: icmp_seq=320 ttl=47 time=180 ms
64 bytes from 141.44.1.1: icmp_seq=321 ttl=47 time=200 ms
64 bytes from 141.44.1.1: icmp_seq=322 ttl=47 time=481 ms
64 bytes from 141.44.1.1: icmp_seq=323 ttl=47 time=179 ms
64 bytes from 141.44.1.1: icmp_seq=324 ttl=47 time=181 ms
64 bytes from 141.44.1.1: icmp_seq=325 ttl=47 time=158 ms
64 bytes from 141.44.1.1: icmp_seq=326 ttl=47 time=178 ms
64 bytes from 141.44.1.1: icmp_seq=327 ttl=47 time=179 ms
64 bytes from 141.44.1.1: icmp_seq=328 ttl=47 time=180 ms
64 bytes from 141.44.1.1: icmp_seq=329 ttl=47 time=357 ms
64 bytes from 141.44.1.1: icmp_seq=330 ttl=47 time=178 ms
64 bytes from 141.44.1.1: icmp_seq=331 ttl=47 time=360 ms
64 bytes from 141.44.1.1: icmp_seq=332 ttl=47 time=397 ms
64 bytes from 141.44.1.1: icmp_seq=333 ttl=47 time=219 ms
64 bytes from 141.44.1.1: icmp_seq=334 ttl=47 time=197 ms
64 bytes from 141.44.1.1: icmp_seq=335 ttl=47 time=176 ms
64 bytes from 141.44.1.1: icmp_seq=336 ttl=47 time=176 ms
64 bytes from 141.44.1.1: icmp_seq=337 ttl=47 time=155 ms
64 bytes from 141.44.1.1: icmp_seq=338 ttl=47 time=173 ms
