PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=314 ttl=54 time=312 ms
64 bytes from 141.44.1.1: icmp_seq=315 ttl=54 time=135 ms
64 bytes from 141.44.1.1: icmp_seq=316 ttl=54 time=146 ms
64 bytes from 141.44.1.1: icmp_seq=317 ttl=54 time=135 ms
64 bytes from 141.44.1.1: icmp_seq=319 ttl=54 time=240 ms
64 bytes from 141.44.1.1: icmp_seq=320 ttl=54 time=112 ms
64 bytes from 141.44.1.1: icmp_seq=321 ttl=54 time=145 ms
64 bytes from 141.44.1.1: icmp_seq=322 ttl=54 time=129 ms
64 bytes from 141.44.1.1: icmp_seq=323 ttl=54 time=335 ms
64 bytes from 141.44.1.1: icmp_seq=324 ttl=54 time=124 ms
64 bytes from 141.44.1.1: icmp_seq=325 ttl=54 time=127 ms
64 bytes from 141.44.1.1: icmp_seq=327 ttl=54 time=1030 ms
64 bytes from 141.44.1.1: icmp_seq=328 ttl=54 time=2949 ms
64 bytes from 141.44.1.1: icmp_seq=329 ttl=54 time=2073 ms
64 bytes from 141.44.1.1: icmp_seq=330 ttl=54 time=1229 ms
64 bytes from 141.44.1.1: icmp_seq=331 ttl=54 time=350 ms
64 bytes from 141.44.1.1: icmp_seq=335 ttl=54 time=247 ms
64 bytes from 141.44.1.1: icmp_seq=334 ttl=54 time=1846 ms
64 bytes from 141.44.1.1: icmp_seq=336 ttl=54 time=1232 ms
64 bytes from 141.44.1.1: icmp_seq=338 ttl=54 time=899 ms
64 bytes from 141.44.1.1: icmp_seq=339 ttl=54 time=120 ms
64 bytes from 141.44.1.1: icmp_seq=341 ttl=54 time=572 ms
64 bytes from 141.44.1.1: icmp_seq=342 ttl=54 time=286 ms
64 bytes from 141.44.1.1: icmp_seq=343 ttl=54 time=112 ms
64 bytes from 141.44.1.1: icmp_seq=344 ttl=54 time=523 ms
64 bytes from 141.44.1.1: icmp_seq=345 ttl=54 time=1536 ms
64 bytes from 141.44.1.1: icmp_seq=346 ttl=54 time=1240 ms
64 bytes from 141.44.1.1: icmp_seq=347 ttl=54 time=903 ms
64 bytes from 141.44.1.1: icmp_seq=348 ttl=54 time=1709 ms
64 bytes from 141.44.1.1: icmp_seq=349 ttl=54 time=2080 ms
64 bytes from 141.44.1.1: icmp_seq=350 ttl=54 time=1396 ms
64 bytes from 141.44.1.1: icmp_seq=351 ttl=54 time=600 ms
64 bytes from 141.44.1.1: icmp_seq=352 ttl=54 time=1299 ms
64 bytes from 141.44.1.1: icmp_seq=353 ttl=54 time=679 ms
64 bytes from 141.44.1.1: icmp_seq=354 ttl=54 time=360 ms
64 bytes from 141.44.1.1: icmp_seq=355 ttl=54 time=285 ms
64 bytes from 141.44.1.1: icmp_seq=356 ttl=54 time=299 ms
64 bytes from 141.44.1.1: icmp_seq=357 ttl=54 time=897 ms
64 bytes from 141.44.1.1: icmp_seq=358 ttl=54 time=492 ms
64 bytes from 141.44.1.1: icmp_seq=359 ttl=54 time=383 ms
64 bytes from 141.44.1.1: icmp_seq=360 ttl=54 time=1648 ms
64 bytes from 141.44.1.1: icmp_seq=361 ttl=54 time=950 ms
64 bytes from 141.44.1.1: icmp_seq=362 ttl=54 time=1761 ms
64 bytes from 141.44.1.1: icmp_seq=363 ttl=54 time=935 ms
64 bytes from 141.44.1.1: icmp_seq=364 ttl=54 time=201 ms
64 bytes from 141.44.1.1: icmp_seq=365 ttl=54 time=113 ms
64 bytes from 141.44.1.1: icmp_seq=366 ttl=54 time=139 ms
64 bytes from 141.44.1.1: icmp_seq=367 ttl=54 time=127 ms
64 bytes from 141.44.1.1: icmp_seq=368 ttl=54 time=117 ms
64 bytes from 141.44.1.1: icmp_seq=369 ttl=54 time=219 ms
64 bytes from 141.44.1.1: icmp_seq=370 ttl=54 time=415 ms
64 bytes from 141.44.1.1: icmp_seq=371 ttl=54 time=301 ms
64 bytes from 141.44.1.1: icmp_seq=372 ttl=54 time=131 ms
64 bytes from 141.44.1.1: icmp_seq=373 ttl=54 time=124 ms
64 bytes from 141.44.1.1: icmp_seq=374 ttl=54 time=243 ms
64 bytes from 141.44.1.1: icmp_seq=375 ttl=54 time=169 ms
64 bytes from 141.44.1.1: icmp_seq=376 ttl=54 time=129 ms
64 bytes from 141.44.1.1: icmp_seq=377 ttl=54 time=128 ms
64 bytes from 141.44.1.1: icmp_seq=378 ttl=54 time=140 ms
64 bytes from 141.44.1.1: icmp_seq=380 ttl=54 time=229 ms
64 bytes from 141.44.1.1: icmp_seq=381 ttl=54 time=486 ms
64 bytes from 141.44.1.1: icmp_seq=382 ttl=54 time=1753 ms
64 bytes from 141.44.1.1: icmp_seq=383 ttl=54 time=1257 ms
64 bytes from 141.44.1.1: icmp_seq=384 ttl=54 time=1063 ms
64 bytes from 141.44.1.1: icmp_seq=385 ttl=54 time=1332 ms
64 bytes from 141.44.1.1: icmp_seq=386 ttl=54 time=1527 ms
64 bytes from 141.44.1.1: icmp_seq=387 ttl=54 time=735 ms
64 bytes from 141.44.1.1: icmp_seq=388 ttl=54 time=505 ms
64 bytes from 141.44.1.1: icmp_seq=390 ttl=54 time=1776 ms
64 bytes from 141.44.1.1: icmp_seq=391 ttl=54 time=875 ms
64 bytes from 141.44.1.1: icmp_seq=392 ttl=54 time=850 ms
64 bytes from 141.44.1.1: icmp_seq=393 ttl=54 time=483 ms
64 bytes from 141.44.1.1: icmp_seq=394 ttl=54 time=362 ms
64 bytes from 141.44.1.1: icmp_seq=395 ttl=54 time=1937 ms
64 bytes from 141.44.1.1: icmp_seq=396 ttl=54 time=1138 ms
64 bytes from 141.44.1.1: icmp_seq=397 ttl=54 time=303 ms
64 bytes from 141.44.1.1: icmp_seq=398 ttl=54 time=421 ms
64 bytes from 141.44.1.1: icmp_seq=402 ttl=54 time=1176 ms
64 bytes from 141.44.1.1: icmp_seq=403 ttl=54 time=990 ms
64 bytes from 141.44.1.1: icmp_seq=404 ttl=54 time=570 ms
64 bytes from 141.44.1.1: icmp_seq=406 ttl=54 time=202 ms
64 bytes from 141.44.1.1: icmp_seq=407 ttl=54 time=550 ms
64 bytes from 141.44.1.1: icmp_seq=408 ttl=54 time=1735 ms
64 bytes from 141.44.1.1: icmp_seq=410 ttl=54 time=756 ms
64 bytes from 141.44.1.1: icmp_seq=411 ttl=54 time=1187 ms
64 bytes from 141.44.1.1: icmp_seq=412 ttl=54 time=1084 ms
64 bytes from 141.44.1.1: icmp_seq=413 ttl=54 time=1007 ms
